acc,cik,name,filing_date,words,chars,tail_share,marker,line,anchor
0000707549-17-000129,707549,LAM RESEARCH CORP,2017-10-17,2825,18475,0.0,,,
0001137789-23-000125,1137789,Seagate Technology Holdings plc,2023-10-26,3911,26113,0.0,,,
0001104659-17-022014,831001,CITIGROUP INC,2017-04-06,54173,269445,0.0,,,
0000732717-24-000056,732717,AT&T INC.,2024-10-23,4104,27250,0.0,,,
0001018724-23-000006,1018724,AMAZON COM INC,2023-04-27,7334,45751,0.26749142095254747,supplemental financial information,Supplemental Financial Information and Business Metrics,
0000895728-21-000039,895728,ENBRIDGE INC,2021-11-05,9232,62032,0.0,,,
0001193125-20-187916,896159,Chubb Ltd,2020-07-06,879,6145,0.0,,,
0001099800-17-000005,1099800,Edwards Lifesciences Corp,2017-02-01,3940,24666,0.0,,,
0000049071-25-000004,49071,HUMANA INC,2025-02-11,3709,24843,0.0,,,
0000049826-19-000052,49826,ILLINOIS TOOL WORKS INC,2019-04-25,1836,11443,0.0,,,
0000766704-20-000044,766704,WELLTOWER INC.,2020-08-05,4091,27585,0.0,,,
0001075531-23-000012,1075531,Booking Holdings Inc.,2023-02-23,4018,25401,0.0,,,
0001193125-17-137353,896159,Chubb Ltd,2017-04-26,4881,31893,0.0,,,
0001193125-17-033861,1105705,"WARNER MEDIA, LLC",2017-02-08,8937,57686,0.0,,,
0001193125-17-028195,10795,BECTON DICKINSON & CO,2017-02-02,3789,24020,0.28742714404662784,supplemental information,SUPPLEMENTAL INFORMATION,
0000821189-22-000027,821189,EOG RESOURCES INC,2022-05-05,9773,61171,0.0,,,
0000313616-19-000150,313616,DANAHER CORP /DE/,2019-10-24,4498,29600,0.0,,,
0001506307-18-000016,1506307,"KINDER MORGAN, INC.",2018-04-18,6563,41742,0.0,,,
0000062709-18-000014,62709,"MARSH & MCLENNAN COMPANIES, INC.",2018-04-26,4470,27604,0.5629981162150413,supplemental information,Supplemental Information - Revenue Analysis,
0001193125-25-175456,1512673,"Block, Inc.",2025-08-07,11102,71290,0.0,,,
0001193125-15-278696,1137774,PRUDENTIAL FINANCIAL INC,2015-08-05,7350,48714,0.0,,,
0000027419-22-000032,27419,TARGET CORP,2022-11-16,3631,23157,0.0,,,
0001156375-22-000211,1156375,CME GROUP INC.,2022-07-27,2494,16393,0.0,,,
0001104659-17-029181,1001250,ESTEE LAUDER COMPANIES INC,2017-05-03,5590,34447,0.0,,,
0001728949-19-000034,804328,QUALCOMM INC/DE,2019-05-01,5803,36795,0.5683380894143226,supplemental information,Supplemental Information and Reconciliations,
0001558370-20-008479,31462,ECOLAB INC.,2020-07-28,6742,44727,0.0,,,
0000072971-19-000383,72971,WELLS FARGO & COMPANY/MN,2019-10-15,19940,122512,0.0,,,
0000092230-22-000104,92230,TRUIST FINANCIAL CORP,2022-10-18,7702,50743,0.0,,,
0000002488-15-000040,2488,ADVANCED MICRO DEVICES INC,2015-07-16,5591,34642,0.0,,,
0000078003-17-000045,78003,PFIZER INC,2017-10-31,22529,136208,0.0,,,
0001564590-17-013276,1318605,"Tesla, Inc.",2017-07-07,575,3485,0.0,,,
0000060667-23-000016,60667,LOWES COMPANIES INC,2023-03-01,2455,16058,0.0,,,
0000008670-23-000010,8670,AUTOMATIC DATA PROCESSING INC,2023-04-26,5176,32882,0.0,,,
0000027419-19-000009,27419,TARGET CORP,2019-05-22,3315,20895,0.0,,,
0001564590-22-035454,106535,WEYERHAEUSER CO,2022-10-27,3223,20743,0.0,,,
0000831259-15-000037,831259,FREEPORT-MCMORAN INC,2015-07-23,28425,169148,0.0,,,
0001144204-16-129598,1318220,"Waste Connections, Inc.",2016-10-26,4106,27581,0.0,,,
0000006951-16-000037,6951,APPLIED MATERIALS INC /DE,2016-02-18,3450,20801,0.0,,,
0000950170-23-017422,1389170,Targa Resources Corp.,2023-05-04,5094,33622,0.0,,,
0000059478-22-000194,59478,ELI LILLY & Co,2022-08-04,6063,39511,0.0,,,
0000732717-21-000024,732717,AT&T INC.,2021-04-22,2896,18792,0.0,,,
0000320187-15-000229,320187,"NIKE, Inc.",2015-12-22,2608,15911,0.0,,,
0001628280-21-014965,315293,Aon plc,2021-07-30,5664,35696,0.0,,,
0000927628-22-000236,927628,CAPITAL ONE FINANCIAL CORP,2022-07-21,899,5835,0.0,,,
0000829224-26-000010,829224,STARBUCKS CORP,2026-01-28,5716,37818,0.2619387593209583,supplemental information,Supplemental Information,
0000092122-24-000091,92122,SOUTHERN CO,2024-10-31,3750,23196,0.0,,,
0001053507-22-000096,1053507,AMERICAN TOWER CORP /MA/,2022-07-28,8352,55189,0.0,,,
0001654954-22-001380,1707925,LINDE PLC,2022-02-10,6927,39200,0.0,,,
0000922224-20-000057,922224,PPL Corp,2020-11-05,4833,30876,0.0,,,
0000060667-26-000020,60667,LOWES COMPANIES INC,2026-02-25,2616,17292,0.0,,,
0000804753-17-000003,804753,CERNER Corp,2017-02-09,3276,22839,0.0,,,
0001193125-22-053117,1692819,Vistra Corp.,2022-02-25,6947,41184,0.0,,,
0001628280-19-009060,315293,Aon plc,2019-07-26,7580,45901,0.0,,,
