chunk_id,arm
E2CHK-0151324a9c0e2bba,G-A
E2CHK-67a82ff15c983117,G-N
E2CHK-3bfb0ec599a78a4a,P
E2CHK-1e231bbaae6e73fa,P
E2CHK-576b4d2140d86cd6,P
E2CHK-4706064f85923070,P
E2CHK-04cc445a0f58ac07,P
E2CHK-ce6eac4707573983,G-N
E2CHK-cd7baf5cae71f612,G-A
E2CHK-0511b5cde4fac95e,P
E2CHK-3ea345cfc589396c,G-A
E2CHK-dd92779b64084e68,P
E2CHK-499418da7a0cc909,P
E2CHK-2c02dec5b1bb6696,P
E2CHK-8450fe31f7053112,P
E2CHK-b456c292a28d4fb8,G-N
E2CHK-2c5ff50972df0440,P
E2CHK-e19a32a3cb00e8f9,P
E2CHK-f06ad5ad94e40c95,P
E2CHK-881ca5c9182d3a82,G-A
E2CHK-2b605524d2f16bea,P
E2CHK-4ff73ff61f02a105,P
E2CHK-7f49f7c526083241,P
E2CHK-325c3faffcdd9a7f,G-N
E2CHK-60a9d30eda3fba96,P
E2CHK-18c02bafee64fdfe,P
E2CHK-be9cc9732d981b4e,P
E2CHK-217a3455ffbbeb82,P
E2CHK-5d00bc88cd98b761,P
E2CHK-d547ce5ba2d65450,G-A
E2CHK-4f12651a09de0b85,G-A
E2CHK-6e9fffee086307d1,P
E2CHK-2e806ececa6a76a3,P
E2CHK-881ec176e727b919,G-A
E2CHK-7ae98f76f805239a,P
E2CHK-d5ccec4276df1c4e,P
E2CHK-200ad84cdaebbf04,P
E2CHK-4f259a30da9e1084,P
E2CHK-945c77855269495a,G-A
E2CHK-cbb9da8be4757a0c,G-N
E2CHK-01f938193ec0c29a,P
E2CHK-6a7987db7eb55fac,G-N
E2CHK-6b132b3219f72f17,P
E2CHK-d2383b7fdaba3894,P
E2CHK-5444ca8574726e44,G-N
E2CHK-16945c1850fb826e,P
E2CHK-e0da585f7f4710f9,G-A
E2CHK-e230c4d51fc42ccd,P
E2CHK-f1b85b95d5d61041,P
E2CHK-e45e9cdca77850ee,P
E2CHK-e83deb713d8c9f5b,P
E2CHK-d4da76e5274c7ff2,P
E2CHK-57fcec50ebcdeb2d,P
E2CHK-5712e6777412f816,P
