cik,name,instant,filed,val,accn,form,reason
1000229,CORE LABORATORIES N V,2010-12-31,2011-02-22,3167283939.0,0001000229-11-000015,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2010-12-31,2011-04-21,3167283939.0,0001000229-11-000022,10-K/A,neighbour_jump
1000229,CORE LABORATORIES N V,2011-03-31,2011-04-22,3167283939.0,0001000229-11-000034,10-Q,neighbour_jump
1000229,CORE LABORATORIES N V,2011-06-30,2012-02-15,5019232674.0,0001000229-12-000012,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2012-06-30,2013-02-19,5362838340.0,0001000229-13-000009,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2013-06-30,2014-02-13,6789682464.0,0001000229-14-000025,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2014-06-30,2015-02-17,7275137567.0,0001000229-15-000035,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2015-06-30,2016-02-12,4772496453.0,0001000229-16-000149,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2016-06-30,2017-02-10,5351649322.0,0001000229-17-000025,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2017-06-30,2018-02-12,4383006513.0,0001000229-18-000025,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2018-06-30,2019-02-11,5468878207.0,0001000229-19-000021,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2019-06-30,2020-02-10,2280624647.0,0001564590-20-004075,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2020-06-30,2021-02-08,886307680.0,0001564590-21-004561,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2021-06-30,2022-02-10,1788005419.0,0000950170-22-001087,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2022-06-30,2023-02-10,908507042.0,0000950170-23-002412,10-K,neighbour_jump
1000697,WATERS CORP /DE/,2022-07-01,2023-02-27,20209471189000.0,0001193125-23-050827,10-K,above_ceiling
1000697,WATERS CORP /DE/,2024-06-29,2025-02-25,17219389367000.0,0001193125-25-034579,10-K,above_ceiling
1001082,DISH Network CORP,2024-06-30,2025-03-12,0.0,0001558370-25-002818,10-K,zero_or_negative
1003410,DUKE REALTY Ltd PARTNERSHIP/,2015-06-30,2016-02-19,6411265592.0,0000783280-16-000080,10-K,neighbour_jump
1004980,PG&E Corp,2008-06-30,2009-08-05,14179.0,0001004980-09-000057,10-Q,below_floor
1004980,PG&E Corp,2009-06-30,2010-05-07,14193000000.0,0001004980-10-000047,10-Q,neighbour_jump
1004980,PG&E Corp,2009-12-31,2010-02-19,12345.0,0001004980-10-000015,10-K,below_floor
1004980,PG&E Corp,2010-06-30,2011-02-17,16024000000.0,0001193125-11-038959,10-K,neighbour_jump
1004980,PG&E Corp,2011-06-30,2012-02-16,16876000000.0,0001193125-12-065537,10-K,neighbour_jump
1004980,PG&E Corp,2012-06-30,2013-02-21,19276000000.0,0001004980-13-000013,10-K,neighbour_jump
1004980,PG&E Corp,2013-06-30,2014-02-11,20326000000.0,0001004980-14-000023,10-K,neighbour_jump
1004980,PG&E Corp,2014-06-30,2015-02-10,22602000000.0,0001004980-15-000010,10-K,neighbour_jump
1004980,PG&E Corp,2015-06-30,2016-02-18,23628000000.0,0001004980-16-000065,10-K,neighbour_jump
1004980,PG&E Corp,2016-06-30,2017-02-16,31807000000.0,0001004980-17-000006,10-K,neighbour_jump
1004980,PG&E Corp,2017-06-30,2018-02-09,33956000000.0,0001004980-18-000003,10-K,neighbour_jump
1004980,PG&E Corp,2018-06-30,2019-02-28,22620000000.0,0001004980-19-000004,10-K,neighbour_jump
1004980,PG&E Corp,2019-06-30,2020-02-18,12130000000.0,0001004980-20-000009,10-K,neighbour_jump
1004980,PG&E Corp,2019-12-31,2020-03-31,6607000000.0,0000950157-20-000455,10-K/A,neighbour_jump
1004980,PG&E Corp,2020-06-30,2021-02-25,12130000000.0,0001004980-21-000007,10-K,neighbour_jump
1004980,PG&E Corp,2021-06-30,2022-02-10,20185000000.0,0001004980-22-000009,10-K,neighbour_jump
1004980,PG&E Corp,2022-06-30,2023-02-23,20819000000.0,0001004980-23-000029,10-K,neighbour_jump
